Organization Name,Type,Full-Time Employees,Part-Time Employees,Volunteers,City,Region,Planned Projects,Executed Projects,Rating (out of 100),Supervising Ministry,Target Group,Main Activity Area,Founded Year,Accreditation Status,Number of Beneficiaries,Workshops Conducted,Training Sessions Conducted,Volunteer Hours Contributed,Staff Retention Rate (%),Digital Presence
Foundation Innovation Network,Health,20,12,244,Najran,Western,5,13,87,Ministry of Communications and Information Technology,Refugees,Awareness,1993,Unaccredited,6510,50,52,7655,88,No
Foundation Harmony Network,Charitable,19,16,63,Najran,Southern,10,20,74,Ministry of Human Resources and Social Development,Elderly,Capacity Building,2013,Accredited,4370,24,26,4613,97,Yes
Center Care Network,Youth,6,2,25,Hail,Western,19,10,82,Ministry of Education,Disabled,Advocacy,2021,Pending,7649,94,89,3341,89,No
Initiative Prosperity Group,Educational,38,14,85,Najran,Western,15,8,63,"Ministry of Environment, Water and Agriculture",Refugees,Advocacy,2011,Unaccredited,3164,92,49,9447,91,Yes
Center Innovation Mission,Development,36,18,239,Abha,Northern,16,6,83,Ministry of Communications and Information Technology,Elderly,Capacity Building,2014,Unaccredited,6456,34,40,6602,92,Yes
Foundation Development for Change,Social Services,31,13,79,Makkah,Northern,13,10,69,Ministry of Municipal and Rural Affairs,Orphans,Research,2015,Accredited,2357,95,24,9132,62,Yes
Center Harmony for Development,Environmental,48,29,39,Makkah,Western,7,8,93,Ministry of Economy and Planning,Elderly,Relief,1991,Pending,1994,98,81,1255,85,Yes
Foundation Light Initiative,Youth,18,11,170,Najran,Central,6,10,97,Ministry of Education,Job Seekers,Capacity Building,1990,Pending,3573,71,59,4687,100,Yes
Initiative Progress Network,Youth,30,22,285,Medina,Northern,6,11,68,Ministry of Health,Youth,Capacity Building,2011,Accredited,5523,50,20,7634,83,Yes
Foundation Innovation Network,Charitable,10,13,120,Riyadh,Northern,12,6,90,Ministry of Municipal and Rural Affairs,Refugees,Capacity Building,2019,Unaccredited,9195,14,52,8679,97,No
Society Light for Youth,Charitable,43,17,136,Riyadh,Central,6,11,65,Ministry of Human Resources and Social Development,Students,Relief,2019,Accredited,9446,47,10,268,68,Yes
Foundation Unity Network,Charitable,6,12,300,Taif,Central,9,8,63,Ministry of Municipal and Rural Affairs,Refugees,Community Engagement,2003,Accredited,1005,74,95,568,68,No
Society Care for Youth,Development,43,27,116,Abha,Southern,10,17,75,"Ministry of Environment, Water and Agriculture",Families,Training,2016,Pending,6405,71,77,9247,92,No
Initiative Harmony Group,Charitable,26,30,40,Abha,Western,12,4,64,Ministry of Communications and Information Technology,Elderly,Awareness,2002,Pending,5645,61,9,1085,100,No
Center Care for Communities,Development,30,26,151,Abha,Western,16,11,97,Ministry of Health,Orphans,Community Engagement,1999,Accredited,7723,19,78,5661,73,Yes
Initiative Empowerment Network,Technology,32,29,43,Medina,Central,19,16,70,Ministry of Education,Job Seekers,Advocacy,2016,Accredited,7498,31,38,8017,86,No
Initiative Harmony for Youth,Environmental,39,5,59,Najran,Northern,15,14,80,Ministry of Municipal and Rural Affairs,Patients,Community Engagement,1998,Pending,2943,73,47,7080,65,No
Association Empowerment Group,Health,3,22,295,Abha,Southern,13,5,69,Ministry of Municipal and Rural Affairs,Elderly,Relief,2010,Accredited,5753,2,21,8178,74,No
Center Progress for Youth,Charitable,9,30,84,Abha,Northern,8,0,97,Ministry of Municipal and Rural Affairs,Youth,Relief,1997,Unaccredited,2934,52,61,6494,82,Yes
Foundation Hope for Development,Health,37,29,13,Abha,Southern,1,8,94,Ministry of Education,Orphans,Awareness,2016,Unaccredited,9429,77,44,6921,84,Yes
Center Innovation Network,Social Services,26,18,96,Tabuk,Western,9,1,93,Ministry of Municipal and Rural Affairs,Orphans,Training,2000,Pending,8744,1,6,7410,93,Yes
Association Growth for Youth,Social Services,6,11,242,Tabuk,Northern,10,3,86,Ministry of Human Resources and Social Development,Orphans,Awareness,2006,Accredited,9859,42,71,7082,62,No
Association Unity Group,Cultural,39,26,223,Taif,Eastern,2,0,66,Ministry of Health,Patients,Research,1992,Accredited,3114,23,26,3439,92,Yes
Initiative Progress for Change,Environmental,43,17,73,Abha,Western,2,12,74,"Ministry of Environment, Water and Agriculture",Youth,Advocacy,2017,Accredited,999,86,91,9174,67,Yes
Center Hope for Communities,Health,21,11,95,Dammam,Central,15,4,71,Ministry of Culture,Patients,Capacity Building,1993,Accredited,9602,64,18,7384,62,No
Center Care for Youth,Charitable,21,22,159,Najran,Western,1,5,73,Ministry of Communications and Information Technology,Refugees,Community Engagement,2009,Pending,4765,21,94,1803,85,Yes
Foundation Progress Network,Development,31,28,190,Medina,Central,7,5,61,"Ministry of Environment, Water and Agriculture",Patients,Training,2016,Accredited,5321,98,31,5306,81,No
Center Growth Network,Social Services,19,13,275,Najran,Eastern,1,3,72,Ministry of Education,Students,Capacity Building,2001,Accredited,1288,65,10,5242,90,No
Society Prosperity Mission,Environmental,19,12,61,Tabuk,Northern,20,14,63,Ministry of Education,Families,Training,2007,Unaccredited,9984,45,39,5327,64,Yes
Foundation Growth for Change,Cultural,10,29,82,Dammam,Southern,8,15,83,Ministry of Culture,Families,Training,1998,Unaccredited,2474,69,73,1971,90,Yes
Foundation Harmony for Change,Youth,12,12,108,Tabuk,Southern,4,11,89,Ministry of Municipal and Rural Affairs,Disabled,Training,2001,Accredited,1059,100,2,1577,66,No
Society Light Network,Charitable,38,18,136,Riyadh,Central,19,17,69,Ministry of Education,Elderly,Research,2009,Pending,3444,57,13,6388,78,Yes
Initiative Growth for Youth,Charitable,25,27,194,Abha,Southern,7,8,98,"Ministry of Environment, Water and Agriculture",Refugees,Research,2021,Unaccredited,3109,95,68,3977,85,No
Society Development Mission,Educational,46,23,70,Najran,Central,8,17,64,Ministry of Education,Orphans,Awareness,1998,Accredited,8500,83,42,7716,82,No
Foundation Hope Group,Social Services,22,1,99,Taif,Eastern,9,9,69,Ministry of Health,Patients,Advocacy,2014,Unaccredited,4327,26,68,7628,87,No
Center Compassion for Change,Social Services,36,10,295,Taif,Central,13,15,73,Ministry of Municipal and Rural Affairs,Refugees,Research,2012,Accredited,2735,17,85,1623,69,No
Society Empowerment Mission,Cultural,43,29,196,Jeddah,Southern,3,15,74,Ministry of Communications and Information Technology,Orphans,Advocacy,2001,Pending,4792,88,60,2733,86,No
Center Unity Mission,Youth,22,20,238,Riyadh,Eastern,13,8,94,Ministry of Communications and Information Technology,Disabled,Research,2011,Accredited,6222,72,17,9841,69,No
Foundation Unity Mission,Environmental,46,18,174,Taif,Northern,1,5,63,"Ministry of Environment, Water and Agriculture",Refugees,Capacity Building,2021,Accredited,4630,70,79,8882,93,Yes
Foundation Progress Initiative,Educational,13,6,86,Medina,Northern,19,12,72,Ministry of Economy and Planning,Refugees,Awareness,2019,Pending,2075,67,16,9088,78,Yes
Association Compassion for Youth,Charitable,6,18,291,Hail,Eastern,15,20,97,Ministry of Municipal and Rural Affairs,Patients,Relief,2004,Pending,6951,9,49,9161,96,No
Initiative Innovation Network,Charitable,21,24,131,Najran,Northern,3,1,71,Ministry of Municipal and Rural Affairs,Families,Research,2012,Pending,5768,8,98,4629,100,Yes
Initiative Prosperity Initiative,Youth,32,21,297,Jeddah,Western,15,11,66,Ministry of Health,Elderly,Relief,2013,Pending,2370,43,63,7119,77,Yes
Center Hope for Change,Youth,8,1,114,Riyadh,Eastern,14,4,75,Ministry of Culture,Students,Advocacy,2003,Unaccredited,1332,47,94,1140,82,No
Association Progress for Change,Development,47,8,256,Najran,Southern,18,1,81,Ministry of Municipal and Rural Affairs,Job Seekers,Advocacy,2009,Accredited,5903,34,8,6406,89,No
Association Growth Initiative,Environmental,47,12,150,Taif,Eastern,18,19,61,Ministry of Culture,Students,Relief,1993,Unaccredited,8306,39,96,131,67,No
Association Empowerment for Communities,Social Services,9,16,13,Medina,Southern,7,13,61,"Ministry of Environment, Water and Agriculture",Elderly,Training,2015,Pending,2955,13,19,7337,100,No
Center Innovation for Development,Technology,32,5,36,Tabuk,Western,11,15,83,Ministry of Economy and Planning,Youth,Research,1991,Unaccredited,8904,44,72,138,79,Yes
Center Growth Mission,Youth,11,19,128,Hail,Southern,13,16,60,Ministry of Education,Families,Community Engagement,2014,Unaccredited,6239,61,66,4031,93,Yes
Initiative Hope for Youth,Technology,40,21,61,Jeddah,Western,11,0,98,Ministry of Education,Refugees,Community Engagement,1995,Unaccredited,168,39,84,5314,84,No
Foundation Innovation for Communities,Environmental,42,18,66,Dammam,Northern,5,0,72,Ministry of Economy and Planning,Refugees,Community Engagement,2000,Accredited,2257,63,73,3256,62,Yes
Association Compassion for Youth,Educational,25,23,107,Najran,Southern,4,19,73,Ministry of Health,Orphans,Community Engagement,1991,Pending,6377,9,15,6785,86,Yes
Society Harmony Mission,Environmental,19,3,98,Tabuk,Western,12,14,81,"Ministry of Environment, Water and Agriculture",Refugees,Community Engagement,2005,Unaccredited,8418,58,1,3388,63,Yes
Society Harmony Group,Charitable,32,3,267,Najran,Western,1,7,85,Ministry of Health,Orphans,Community Engagement,2017,Pending,5037,34,63,7019,64,No
Society Harmony Initiative,Environmental,41,19,115,Abha,Northern,14,16,93,Ministry of Culture,Refugees,Capacity Building,2022,Pending,9354,35,26,6039,68,Yes
Society Hope Mission,Educational,49,19,101,Tabuk,Eastern,14,11,78,Ministry of Health,Orphans,Capacity Building,1990,Accredited,3616,84,95,3154,64,Yes
Society Care Network,Health,35,30,67,Tabuk,Central,13,17,77,Ministry of Education,Refugees,Advocacy,2013,Unaccredited,3227,20,84,4491,77,Yes
Association Harmony for Youth,Educational,27,22,12,Najran,Northern,9,2,72,Ministry of Health,Students,Advocacy,1995,Unaccredited,1146,91,24,3849,86,No
Association Light Group,Technology,23,5,198,Jeddah,Central,3,1,92,Ministry of Culture,Patients,Awareness,2011,Accredited,2832,87,20,5157,64,No
Foundation Empowerment for Change,Technology,29,25,210,Jeddah,Western,16,4,91,Ministry of Municipal and Rural Affairs,Refugees,Community Engagement,1993,Pending,4283,45,98,2801,74,Yes
Society Unity for Youth,Cultural,29,18,84,Najran,Central,12,2,98,Ministry of Economy and Planning,Patients,Research,1996,Accredited,4133,25,91,774,79,Yes
Society Development Network,Youth,29,14,258,Taif,Central,8,16,89,Ministry of Economy and Planning,Youth,Relief,1998,Pending,7560,51,14,1394,89,No
Society Care for Development,Cultural,34,17,25,Taif,Central,13,0,84,Ministry of Municipal and Rural Affairs,Elderly,Community Engagement,2003,Unaccredited,4799,42,87,910,67,Yes
Foundation Growth for Communities,Charitable,18,9,51,Taif,Northern,3,8,94,Ministry of Culture,Students,Research,2021,Pending,4118,86,37,8914,62,Yes
Initiative Harmony for Development,Cultural,15,13,217,Riyadh,Eastern,2,9,87,Ministry of Health,Disabled,Relief,2014,Pending,4030,78,5,5543,90,Yes
Association Growth Network,Cultural,48,3,294,Najran,Central,18,9,61,"Ministry of Environment, Water and Agriculture",Patients,Advocacy,1991,Pending,492,41,38,2373,73,No
Society Harmony for Change,Environmental,34,18,145,Najran,Eastern,13,17,79,Ministry of Economy and Planning,Job Seekers,Capacity Building,2004,Accredited,7469,54,38,331,93,Yes
Foundation Hope Group,Youth,18,12,120,Tabuk,Central,14,17,73,Ministry of Human Resources and Social Development,Families,Community Engagement,2015,Unaccredited,5676,78,92,5568,86,Yes
Foundation Empowerment Group,Educational,8,28,218,Taif,Eastern,19,4,75,Ministry of Health,Orphans,Awareness,2005,Accredited,451,5,70,9488,70,No
Association Hope Mission,Technology,32,14,262,Makkah,Southern,7,3,97,Ministry of Communications and Information Technology,Refugees,Training,1991,Unaccredited,6618,49,21,7556,90,No
Association Light for Youth,Youth,34,27,93,Hail,Central,6,9,90,Ministry of Culture,Students,Research,1994,Pending,3058,93,33,4835,71,Yes
Initiative Harmony Group,Youth,29,9,123,Dammam,Western,6,1,74,Ministry of Health,Job Seekers,Training,2009,Unaccredited,8971,10,61,2976,71,Yes
Center Growth Mission,Social Services,23,14,199,Medina,Western,5,1,85,Ministry of Culture,Students,Community Engagement,1990,Accredited,9686,40,76,329,96,No
Initiative Hope for Youth,Educational,11,10,150,Tabuk,Southern,20,11,88,Ministry of Health,Elderly,Advocacy,2015,Accredited,2371,63,49,5519,97,Yes
Initiative Compassion for Change,Health,38,24,260,Taif,Central,2,17,75,Ministry of Municipal and Rural Affairs,Elderly,Awareness,2020,Pending,6950,71,39,4630,66,No
Foundation Unity Network,Youth,27,1,23,Makkah,Western,18,17,87,Ministry of Education,Families,Advocacy,1996,Accredited,1237,27,77,6408,61,No
Foundation Care for Youth,Educational,37,7,29,Dammam,Southern,16,13,94,Ministry of Education,Youth,Advocacy,2006,Pending,7640,70,100,7299,88,Yes
Society Harmony Mission,Cultural,18,11,219,Medina,Central,15,1,79,Ministry of Culture,Refugees,Awareness,1993,Pending,186,41,63,6016,89,No
Foundation Growth for Change,Youth,23,15,215,Riyadh,Northern,1,13,66,Ministry of Municipal and Rural Affairs,Refugees,Community Engagement,1999,Accredited,8033,81,55,9693,62,No
Association Innovation for Change,Health,40,12,271,Taif,Southern,18,4,75,Ministry of Economy and Planning,Refugees,Community Engagement,2011,Accredited,7209,16,74,5286,81,Yes
Center Growth for Youth,Educational,13,24,103,Makkah,Central,7,9,76,Ministry of Education,Patients,Advocacy,2008,Unaccredited,9855,4,81,4948,87,Yes
Society Light for Communities,Environmental,5,18,10,Tabuk,Central,18,2,76,"Ministry of Environment, Water and Agriculture",Orphans,Training,2016,Unaccredited,925,35,67,9146,91,Yes
Initiative Hope Network,Technology,33,25,36,Taif,Western,16,10,69,Ministry of Human Resources and Social Development,Youth,Capacity Building,1999,Accredited,7425,20,15,3891,91,No
Initiative Harmony Initiative,Charitable,28,22,28,Tabuk,Western,1,2,69,Ministry of Education,Orphans,Advocacy,2019,Accredited,2842,89,96,1894,71,Yes
Foundation Growth Initiative,Youth,9,3,18,Dammam,Central,6,18,93,Ministry of Health,Disabled,Awareness,2016,Pending,6549,84,51,7087,79,Yes
Foundation Compassion Initiative,Youth,43,16,233,Hail,Central,11,11,88,Ministry of Human Resources and Social Development,Refugees,Community Engagement,2013,Unaccredited,6895,75,99,9036,64,Yes
Foundation Prosperity for Change,Youth,22,11,105,Dammam,Southern,14,14,90,Ministry of Municipal and Rural Affairs,Elderly,Advocacy,1996,Accredited,5845,12,2,6031,83,No
Foundation Unity Network,Cultural,18,25,103,Riyadh,Eastern,10,8,79,Ministry of Human Resources and Social Development,Orphans,Community Engagement,2015,Pending,1499,23,49,996,87,No
Society Unity Initiative,Development,18,25,255,Dammam,Western,2,3,92,Ministry of Health,Patients,Relief,2022,Unaccredited,6889,3,43,1981,89,Yes
Society Prosperity for Communities,Cultural,19,21,143,Makkah,Western,4,17,68,Ministry of Education,Refugees,Advocacy,2017,Accredited,7299,94,56,4446,82,No
Association Prosperity Network,Educational,17,27,143,Taif,Eastern,15,20,81,"Ministry of Environment, Water and Agriculture",Elderly,Training,2013,Unaccredited,2685,50,10,7254,94,Yes
Initiative Hope for Change,Cultural,40,26,93,Tabuk,Central,17,18,81,Ministry of Human Resources and Social Development,Job Seekers,Capacity Building,1998,Accredited,5276,36,52,3373,66,Yes
Foundation Compassion Network,Social Services,34,15,258,Makkah,Eastern,9,8,81,Ministry of Communications and Information Technology,Job Seekers,Advocacy,2012,Unaccredited,5612,88,70,131,80,No
Association Care Group,Social Services,38,15,296,Abha,Central,18,7,95,Ministry of Human Resources and Social Development,Refugees,Capacity Building,2008,Unaccredited,8228,85,32,9580,79,No
Association Empowerment for Change,Cultural,23,4,222,Dammam,Southern,3,10,91,Ministry of Municipal and Rural Affairs,Elderly,Community Engagement,1994,Unaccredited,3025,27,45,5934,87,No
Association Hope Network,Social Services,44,12,42,Najran,Northern,15,8,95,Ministry of Economy and Planning,Students,Community Engagement,2016,Accredited,7438,47,16,3140,84,No
Foundation Compassion Network,Social Services,33,26,215,Medina,Northern,15,15,97,Ministry of Education,Job Seekers,Advocacy,1994,Pending,7750,84,82,2266,81,Yes
Center Development for Development,Environmental,35,25,98,Jeddah,Central,6,17,75,"Ministry of Environment, Water and Agriculture",Patients,Relief,1994,Pending,6411,42,21,4821,83,Yes
Association Unity for Youth,Environmental,46,10,80,Medina,Northern,4,10,90,Ministry of Municipal and Rural Affairs,Job Seekers,Community Engagement,2015,Pending,1804,24,35,5296,86,No
Association Hope Initiative,Environmental,49,27,236,Makkah,Western,4,16,80,Ministry of Health,Families,Training,2003,Pending,4282,70,14,5462,79,Yes
